vehicle.trip.route_id,vehicle.trip.direction_id,time_bucket,delay_total,late_5_min,early_5_min,count
52,0.0,2025-03-15 17:00:00-07:00,4,0,0,2
52,0.0,2025-03-15 17:20:00-07:00,2,0,0,1
52,0.0,2025-03-15 17:40:00-07:00,1,0,0,1
52,0.0,2025-03-15 18:00:00-07:00,5,1,0,2
52,0.0,2025-03-15 18:20:00-07:00,0,0,0,1
52,0.0,2025-03-15 18:40:00-07:00,5,1,0,1
52,0.0,2025-03-15 19:00:00-07:00,7,1,0,2
52,0.0,2025-03-15 19:20:00-07:00,2,0,0,1
52,0.0,2025-03-15 19:40:00-07:00,9,1,0,1
52,0.0,2025-03-15 20:00:00-07:00,24,1,0,2
52,0.0,2025-03-15 20:20:00-07:00,-1,0,0,1
52,0.0,2025-03-15 20:40:00-07:00,0,0,0,1
52,0.0,2025-03-15 21:00:00-07:00,3,0,0,2
52,0.0,2025-03-15 21:20:00-07:00,1,0,0,1
52,0.0,2025-03-15 21:40:00-07:00,1,0,0,1
52,0.0,2025-03-15 22:00:00-07:00,2,0,0,2
52,0.0,2025-03-15 22:20:00-07:00,1,0,0,1
52,0.0,2025-03-16 08:00:00-07:00,-13,0,1,1
52,0.0,2025-03-16 08:20:00-07:00,1,0,0,2
52,0.0,2025-03-16 08:40:00-07:00,-2,0,0,1
52,0.0,2025-03-16 09:00:00-07:00,1,0,0,1
52,0.0,2025-03-16 09:20:00-07:00,-1,0,0,2
52,0.0,2025-03-16 09:40:00-07:00,-1,0,0,1
52,0.0,2025-03-16 10:00:00-07:00,3,0,0,1
52,0.0,2025-03-16 10:20:00-07:00,5,1,0,2
52,0.0,2025-03-16 10:40:00-07:00,-1,0,0,1
52,1.0,2025-03-15 11:00:00-07:00,1,0,0,1
52,1.0,2025-03-15 11:20:00-07:00,5,1,0,2
52,1.0,2025-03-15 11:40:00-07:00,5,1,0,1
52,1.0,2025-03-15 12:00:00-07:00,2,0,0,1
52,1.0,2025-03-15 12:20:00-07:00,5,1,0,1
52,1.0,2025-03-15 12:40:00-07:00,7,1,0,1
52,1.0,2025-03-15 13:00:00-07:00,11,1,0,2
52,1.0,2025-03-15 13:20:00-07:00,8,1,0,2
52,1.0,2025-03-15 13:40:00-07:00,3,0,0,1
52,1.0,2025-03-15 14:00:00-07:00,11,2,0,2
52,1.0,2025-03-15 14:20:00-07:00,8,1,0,1
52,1.0,2025-03-15 14:40:00-07:00,10,1,0,1
52,1.0,2025-03-15 15:00:00-07:00,14,1,0,2
52,1.0,2025-03-15 15:20:00-07:00,4,0,0,2
52,1.0,2025-03-15 15:40:00-07:00,1,0,0,1
52,1.0,2025-03-15 16:00:00-07:00,9,1,0,2
52,1.0,2025-03-15 16:20:00-07:00,6,1,0,2
52,1.0,2025-03-15 16:40:00-07:00,0,0,0,1
52,1.0,2025-03-15 17:00:00-07:00,4,0,0,1
52,1.0,2025-03-15 17:20:00-07:00,8,1,0,2
52,1.0,2025-03-15 17:40:00-07:00,1,0,0,1
52,1.0,2025-03-15 18:00:00-07:00,3,0,0,1
52,1.0,2025-03-15 18:20:00-07:00,6,1,0,2
52,1.0,2025-03-15 18:40:00-07:00,-1,0,0,1
52,1.0,2025-03-15 19:00:00-07:00,7,1,0,1
52,1.0,2025-03-15 19:20:00-07:00,10,1,0,2
52,1.0,2025-03-15 19:40:00-07:00,1,0,0,1
52,1.0,2025-03-15 20:20:00-07:00,0,0,0,1
52,1.0,2025-03-15 20:40:00-07:00,1,0,0,1
52,1.0,2025-03-15 21:00:00-07:00,2,0,0,1
52,1.0,2025-03-15 21:20:00-07:00,1,0,0,2
52,1.0,2025-03-15 21:40:00-07:00,0,0,0,1
52,1.0,2025-03-15 22:00:00-07:00,2,0,0,1
52,1.0,2025-03-15 22:20:00-07:00,6,1,0,1
52,1.0,2025-03-16 07:40:00-07:00,-8,0,1,1
52,1.0,2025-03-16 08:20:00-07:00,3,0,0,1
52,1.0,2025-03-16 08:40:00-07:00,6,1,0,1
52,1.0,2025-03-16 09:00:00-07:00,-2,0,0,1
52,1.0,2025-03-16 09:20:00-07:00,0,0,0,2
52,1.0,2025-03-16 09:40:00-07:00,4,0,0,1
52,1.0,2025-03-16 10:00:00-07:00,-4,0,0,1
52,1.0,2025-03-16 10:20:00-07:00,-4,0,0,1
52,1.0,2025-03-16 10:40:00-07:00,6,1,0,1
54,0.0,2025-03-15 11:00:00-07:00,2,0,0,3
54,0.0,2025-03-15 11:20:00-07:00,7,1,0,4
54,0.0,2025-03-15 11:40:00-07:00,8,1,0,4
54,0.0,2025-03-15 12:00:00-07:00,8,1,0,3
54,0.0,2025-03-15 12:20:00-07:00,17,2,0,4
54,0.0,2025-03-15 12:40:00-07:00,9,0,0,4
54,0.0,2025-03-15 13:00:00-07:00,10,1,0,4
54,0.0,2025-03-15 13:20:00-07:00,14,2,0,4
54,0.0,2025-03-15 13:40:00-07:00,20,2,0,4
54,0.0,2025-03-15 14:00:00-07:00,13,1,0,4
54,0.0,2025-03-15 14:20:00-07:00,11,1,0,4
54,0.0,2025-03-15 14:40:00-07:00,0,0,0,4
54,0.0,2025-03-15 15:00:00-07:00,0,0,0,2
54,0.0,2025-03-15 15:20:00-07:00,14,1,0,4
54,0.0,2025-03-15 15:40:00-07:00,40,2,0,4
54,0.0,2025-03-15 16:00:00-07:00,9,1,0,4
54,0.0,2025-03-15 16:20:00-07:00,8,1,0,4
54,0.0,2025-03-15 16:40:00-07:00,10,1,0,4
54,0.0,2025-03-15 17:00:00-07:00,5,0,0,4
54,0.0,2025-03-15 17:20:00-07:00,-4,0,0,4
54,0.0,2025-03-15 17:40:00-07:00,10,1,0,3
54,0.0,2025-03-15 18:00:00-07:00,26,3,0,4
54,0.0,2025-03-15 18:20:00-07:00,18,1,0,4
54,0.0,2025-03-15 18:40:00-07:00,21,1,0,4
54,0.0,2025-03-15 19:00:00-07:00,2,0,0,3
54,0.0,2025-03-15 19:20:00-07:00,4,0,0,4
54,0.0,2025-03-15 19:40:00-07:00,-2,0,0,2
54,0.0,2025-03-15 20:00:00-07:00,6,0,0,2
54,0.0,2025-03-15 20:20:00-07:00,5,0,0,2
54,0.0,2025-03-15 20:40:00-07:00,8,0,0,2
54,0.0,2025-03-15 21:00:00-07:00,4,0,0,2
54,0.0,2025-03-15 21:20:00-07:00,3,0,0,2
54,0.0,2025-03-15 21:40:00-07:00,6,0,0,2
54,0.0,2025-03-15 22:00:00-07:00,2,0,0,2
54,0.0,2025-03-15 22:20:00-07:00,0,0,0,1
54,0.0,2025-03-15 22:40:00-07:00,5,1,0,1
54,0.0,2025-03-16 05:40:00-07:00,0,0,0,1
54,0.0,2025-03-16 06:00:00-07:00,2,0,0,2
54,0.0,2025-03-16 06:20:00-07:00,1,0,0,3
54,0.0,2025-03-16 06:40:00-07:00,-2,0,0,3
54,0.0,2025-03-16 07:00:00-07:00,1,0,0,3
54,0.0,2025-03-16 07:20:00-07:00,2,0,0,3
54,0.0,2025-03-16 07:40:00-07:00,2,0,0,3
54,0.0,2025-03-16 08:00:00-07:00,3,0,0,3
54,0.0,2025-03-16 08:20:00-07:00,2,0,0,3
54,0.0,2025-03-16 08:40:00-07:00,-2,0,0,3
54,0.0,2025-03-16 09:00:00-07:00,-1,0,0,3
54,0.0,2025-03-16 09:20:00-07:00,2,0,0,3
54,0.0,2025-03-16 09:40:00-07:00,5,0,0,4
54,0.0,2025-03-16 10:00:00-07:00,3,1,0,4
54,0.0,2025-03-16 10:20:00-07:00,4,0,0,4
54,0.0,2025-03-16 10:40:00-07:00,-1,0,0,4
54,1.0,2025-03-15 11:00:00-07:00,3,0,0,3
54,1.0,2025-03-15 11:20:00-07:00,10,1,0,5
54,1.0,2025-03-15 11:40:00-07:00,11,1,0,5
54,1.0,2025-03-15 12:00:00-07:00,10,0,0,4
54,1.0,2025-03-15 12:20:00-07:00,11,1,0,4
54,1.0,2025-03-15 12:40:00-07:00,12,1,0,5
54,1.0,2025-03-15 13:00:00-07:00,9,0,0,5
54,1.0,2025-03-15 13:20:00-07:00,7,0,0,4
54,1.0,2025-03-15 13:40:00-07:00,14,2,0,5
54,1.0,2025-03-15 14:00:00-07:00,7,1,0,5
54,1.0,2025-03-15 14:20:00-07:00,5,1,0,4
54,1.0,2025-03-15 14:40:00-07:00,9,1,0,4
54,1.0,2025-03-15 15:00:00-07:00,10,1,0,5
54,1.0,2025-03-15 15:20:00-07:00,6,0,0,5
54,1.0,2025-03-15 15:40:00-07:00,4,0,0,5
54,1.0,2025-03-15 16:00:00-07:00,4,0,0,3
54,1.0,2025-03-15 16:20:00-07:00,9,1,0,5
54,1.0,2025-03-15 16:40:00-07:00,12,2,0,4
54,1.0,2025-03-15 17:00:00-07:00,26,3,0,5
54,1.0,2025-03-15 17:20:00-07:00,16,2,0,5
54,1.0,2025-03-15 17:40:00-07:00,15,2,0,4
54,1.0,2025-03-15 18:00:00-07:00,17,2,0,5
54,1.0,2025-03-15 18:20:00-07:00,16,2,0,5
54,1.0,2025-03-15 18:40:00-07:00,3,0,0,3
54,1.0,2025-03-15 19:00:00-07:00,13,1,0,4
54,1.0,2025-03-15 19:20:00-07:00,7,1,0,4
54,1.0,2025-03-15 19:40:00-07:00,5,0,0,4
54,1.0,2025-03-15 20:00:00-07:00,3,0,0,3
54,1.0,2025-03-15 20:20:00-07:00,4,0,0,4
54,1.0,2025-03-15 20:40:00-07:00,-2,0,0,3
54,1.0,2025-03-15 21:00:00-07:00,-4,0,0,2
54,1.0,2025-03-15 21:20:00-07:00,-5,0,1,3
54,1.0,2025-03-15 21:40:00-07:00,1,0,0,3
54,1.0,2025-03-15 22:00:00-07:00,1,0,0,2
54,1.0,2025-03-15 22:20:00-07:00,2,1,0,2
54,1.0,2025-03-15 22:40:00-07:00,2,0,0,1
54,1.0,2025-03-16 05:20:00-07:00,-11,0,1,1
54,1.0,2025-03-16 05:40:00-07:00,-17,0,1,2
54,1.0,2025-03-16 06:00:00-07:00,0,0,0,3
54,1.0,2025-03-16 06:20:00-07:00,2,0,0,4
54,1.0,2025-03-16 06:40:00-07:00,3,0,0,3
54,1.0,2025-03-16 07:00:00-07:00,6,1,0,4
54,1.0,2025-03-16 07:20:00-07:00,0,0,0,4
54,1.0,2025-03-16 07:40:00-07:00,0,0,0,4
54,1.0,2025-03-16 08:00:00-07:00,0,0,0,4
54,1.0,2025-03-16 08:20:00-07:00,-2,0,0,4
54,1.0,2025-03-16 08:40:00-07:00,-2,0,0,4
54,1.0,2025-03-16 09:00:00-07:00,-2,0,0,4
54,1.0,2025-03-16 09:20:00-07:00,3,0,0,4
54,1.0,2025-03-16 09:40:00-07:00,-1,0,0,4
54,1.0,2025-03-16 10:00:00-07:00,-1,0,0,4
54,1.0,2025-03-16 10:20:00-07:00,4,0,0,4
54,1.0,2025-03-16 10:40:00-07:00,3,1,0,4
55,0.0,2025-03-15 11:00:00-07:00,6,1,0,1
55,0.0,2025-03-15 11:20:00-07:00,5,1,0,1
55,0.0,2025-03-15 11:40:00-07:00,6,1,0,2
55,0.0,2025-03-15 12:00:00-07:00,1,0,0,1
55,0.0,2025-03-15 12:20:00-07:00,6,1,0,1
55,0.0,2025-03-15 12:40:00-07:00,10,2,0,2
55,0.0,2025-03-15 13:00:00-07:00,8,1,0,2
55,0.0,2025-03-15 13:20:00-07:00,13,2,0,2
55,0.0,2025-03-15 13:40:00-07:00,14,2,0,2
55,0.0,2025-03-15 14:00:00-07:00,22,2,0,2
55,0.0,2025-03-15 14:20:00-07:00,22,2,0,2
55,0.0,2025-03-15 14:40:00-07:00,15,1,0,2
55,0.0,2025-03-15 15:00:00-07:00,10,1,0,1
55,0.0,2025-03-15 15:20:00-07:00,18,2,0,2
55,0.0,2025-03-15 15:40:00-07:00,12,2,0,2
55,0.0,2025-03-15 16:00:00-07:00,21,2,0,2
55,0.0,2025-03-15 16:20:00-07:00,24,2,0,2
55,0.0,2025-03-15 16:40:00-07:00,14,2,0,2
55,0.0,2025-03-15 17:00:00-07:00,20,2,0,2
55,0.0,2025-03-15 17:20:00-07:00,19,1,0,2
55,0.0,2025-03-15 17:40:00-07:00,2,0,0,1
55,0.0,2025-03-15 18:00:00-07:00,7,1,0,1
55,0.0,2025-03-15 18:20:00-07:00,8,1,0,3
55,0.0,2025-03-15 18:40:00-07:00,0,0,0,1
55,0.0,2025-03-15 19:00:00-07:00,4,1,0,2
55,0.0,2025-03-15 19:20:00-07:00,4,1,0,2
55,0.0,2025-03-15 19:40:00-07:00,11,1,0,1
55,0.0,2025-03-15 20:00:00-07:00,29,2,0,2
55,0.0,2025-03-15 20:20:00-07:00,16,1,0,1
55,0.0,2025-03-15 20:40:00-07:00,-11,0,1,1
55,0.0,2025-03-15 21:00:00-07:00,-9,0,1,2
55,0.0,2025-03-15 21:20:00-07:00,0,0,0,1
55,0.0,2025-03-15 21:40:00-07:00,5,1,0,1
55,0.0,2025-03-15 22:00:00-07:00,2,0,0,1
55,0.0,2025-03-16 04:40:00-07:00,-15,0,1,1
55,0.0,2025-03-16 05:00:00-07:00,2,0,0,1
55,0.0,2025-03-16 05:20:00-07:00,-43,0,1,2
55,0.0,2025-03-16 05:40:00-07:00,-39,0,1,2
55,0.0,2025-03-16 06:00:00-07:00,5,0,0,2
55,0.0,2025-03-16 06:20:00-07:00,2,0,0,2
55,0.0,2025-03-16 06:40:00-07:00,5,0,0,2
55,0.0,2025-03-16 07:00:00-07:00,2,0,0,2
55,0.0,2025-03-16 07:20:00-07:00,0,0,0,2
55,0.0,2025-03-16 07:40:00-07:00,0,0,0,2
55,0.0,2025-03-16 08:00:00-07:00,-4,0,0,2
55,0.0,2025-03-16 08:20:00-07:00,-8,0,1,2
55,0.0,2025-03-16 08:40:00-07:00,-2,0,0,2
55,0.0,2025-03-16 09:00:00-07:00,-1,0,0,2
55,0.0,2025-03-16 09:20:00-07:00,0,0,0,2
55,0.0,2025-03-16 09:40:00-07:00,0,0,0,1
55,0.0,2025-03-16 10:00:00-07:00,6,1,0,1
55,0.0,2025-03-16 10:20:00-07:00,1,0,0,1
55,0.0,2025-03-16 10:40:00-07:00,2,0,0,1
55,1.0,2025-03-15 11:00:00-07:00,0,0,0,2
55,1.0,2025-03-15 11:20:00-07:00,0,0,0,1
55,1.0,2025-03-15 11:40:00-07:00,0,0,0,2
55,1.0,2025-03-15 12:00:00-07:00,0,0,0,2
55,1.0,2025-03-15 12:20:00-07:00,0,0,0,1
55,1.0,2025-03-15 12:40:00-07:00,0,0,0,1
55,1.0,2025-03-15 13:00:00-07:00,1,0,0,2
55,1.0,2025-03-15 13:20:00-07:00,-1,0,0,2
55,1.0,2025-03-15 13:40:00-07:00,4,0,0,3
55,1.0,2025-03-15 14:00:00-07:00,2,1,0,3
55,1.0,2025-03-15 14:20:00-07:00,0,0,0,1
55,1.0,2025-03-15 14:40:00-07:00,0,0,0,1
55,1.0,2025-03-15 15:00:00-07:00,5,1,0,2
55,1.0,2025-03-15 15:20:00-07:00,-1,0,0,1
55,1.0,2025-03-15 15:40:00-07:00,1,0,0,2
55,1.0,2025-03-15 16:00:00-07:00,0,0,0,2
55,1.0,2025-03-15 16:20:00-07:00,2,0,0,1
55,1.0,2025-03-15 16:40:00-07:00,1,0,0,2
55,1.0,2025-03-15 17:00:00-07:00,3,0,0,2
55,1.0,2025-03-15 17:20:00-07:00,1,0,0,1
55,1.0,2025-03-15 17:40:00-07:00,0,0,0,2
55,1.0,2025-03-15 18:00:00-07:00,3,0,0,3
55,1.0,2025-03-15 18:20:00-07:00,0,0,0,2
55,1.0,2025-03-15 18:40:00-07:00,0,0,0,2
55,1.0,2025-03-15 19:00:00-07:00,-1,0,0,2
55,1.0,2025-03-15 19:20:00-07:00,4,0,0,1
55,1.0,2025-03-15 19:40:00-07:00,9,1,0,2
55,1.0,2025-03-15 20:00:00-07:00,9,1,0,1
55,1.0,2025-03-15 20:20:00-07:00,24,1,0,1
55,1.0,2025-03-15 20:40:00-07:00,48,2,0,2
55,1.0,2025-03-15 21:00:00-07:00,29,1,0,1
55,1.0,2025-03-15 21:20:00-07:00,0,0,0,1
55,1.0,2025-03-15 21:40:00-07:00,-2,0,0,1
55,1.0,2025-03-15 22:00:00-07:00,1,0,0,1
55,1.0,2025-03-16 04:40:00-07:00,0,0,0,1
55,1.0,2025-03-16 05:00:00-07:00,-12,0,1,2
55,1.0,2025-03-16 05:20:00-07:00,-41,0,1,2
55,1.0,2025-03-16 05:40:00-07:00,0,0,0,1
55,1.0,2025-03-16 06:00:00-07:00,2,0,0,2
55,1.0,2025-03-16 06:20:00-07:00,-1,0,0,1
55,1.0,2025-03-16 06:40:00-07:00,3,0,0,2
55,1.0,2025-03-16 07:00:00-07:00,-9,0,1,2
55,1.0,2025-03-16 07:20:00-07:00,1,0,0,2
55,1.0,2025-03-16 07:40:00-07:00,0,0,0,2
55,1.0,2025-03-16 08:00:00-07:00,0,0,0,2
55,1.0,2025-03-16 08:20:00-07:00,-2,0,0,2
55,1.0,2025-03-16 08:40:00-07:00,-1,0,0,1
55,1.0,2025-03-16 09:00:00-07:00,0,0,0,2
55,1.0,2025-03-16 09:20:00-07:00,-29,0,1,2
55,1.0,2025-03-16 09:40:00-07:00,0,0,0,1
55,1.0,2025-03-16 10:00:00-07:00,0,0,0,2
55,1.0,2025-03-16 10:20:00-07:00,0,0,0,1
55,1.0,2025-03-16 10:40:00-07:00,0,0,0,1
56,0.0,2025-03-15 11:00:00-07:00,9,1,0,2
56,0.0,2025-03-15 11:20:00-07:00,3,0,0,2
56,0.0,2025-03-15 11:40:00-07:00,-6,0,0,2
56,0.0,2025-03-15 12:00:00-07:00,-8,0,1,2
56,0.0,2025-03-15 12:20:00-07:00,-4,0,0,2
56,0.0,2025-03-15 12:40:00-07:00,0,0,0,2
56,0.0,2025-03-15 13:00:00-07:00,-2,0,0,1
56,0.0,2025-03-15 13:20:00-07:00,5,1,0,2
56,0.0,2025-03-15 13:40:00-07:00,1,0,0,1
56,0.0,2025-03-15 14:00:00-07:00,10,1,0,2
56,0.0,2025-03-15 14:20:00-07:00,14,1,0,2
56,0.0,2025-03-15 14:40:00-07:00,18,1,0,1
56,0.0,2025-03-15 15:00:00-07:00,21,1,0,2
56,0.0,2025-03-15 15:20:00-07:00,2,0,0,1
56,0.0,2025-03-15 15:40:00-07:00,28,1,0,2
56,0.0,2025-03-15 16:00:00-07:00,28,1,0,2
56,0.0,2025-03-15 16:20:00-07:00,35,1,0,2
56,0.0,2025-03-15 16:40:00-07:00,36,1,0,2
56,0.0,2025-03-15 17:00:00-07:00,38,1,0,2
56,0.0,2025-03-15 17:20:00-07:00,42,1,0,2
56,0.0,2025-03-15 17:40:00-07:00,43,1,0,2
56,0.0,2025-03-15 18:00:00-07:00,40,1,0,2
56,0.0,2025-03-15 18:20:00-07:00,39,1,0,2
56,0.0,2025-03-15 18:40:00-07:00,53,2,0,3
56,0.0,2025-03-15 19:00:00-07:00,42,1,0,2
56,0.0,2025-03-15 19:20:00-07:00,52,2,0,3
56,0.0,2025-03-15 19:40:00-07:00,90,2,0,3
56,0.0,2025-03-15 20:00:00-07:00,48,2,0,3
56,0.0,2025-03-15 20:20:00-07:00,87,2,0,3
56,0.0,2025-03-15 20:40:00-07:00,38,1,0,2
56,0.0,2025-03-15 21:00:00-07:00,52,1,0,2
56,0.0,2025-03-15 21:20:00-07:00,41,1,0,1
56,0.0,2025-03-16 07:00:00-07:00,2,0,0,1
56,0.0,2025-03-16 07:20:00-07:00,-1,0,0,2
56,0.0,2025-03-16 07:40:00-07:00,-2,0,0,2
56,0.0,2025-03-16 08:00:00-07:00,-2,0,0,2
56,0.0,2025-03-16 08:20:00-07:00,1,0,0,2
56,0.0,2025-03-16 08:40:00-07:00,6,0,0,2
56,0.0,2025-03-16 09:00:00-07:00,1,0,0,2
56,0.0,2025-03-16 09:20:00-07:00,-3,0,1,2
56,0.0,2025-03-16 09:40:00-07:00,2,0,0,2
56,0.0,2025-03-16 10:00:00-07:00,-2,0,0,2
56,0.0,2025-03-16 10:20:00-07:00,-2,0,0,2
56,0.0,2025-03-16 10:40:00-07:00,-2,0,0,2
56,1.0,2025-03-15 11:00:00-07:00,17,2,0,2
56,1.0,2025-03-15 11:20:00-07:00,-1,0,0,2
56,1.0,2025-03-15 11:40:00-07:00,-2,0,0,2
56,1.0,2025-03-15 12:00:00-07:00,-2,0,0,2
56,1.0,2025-03-15 12:20:00-07:00,-1,0,0,2
56,1.0,2025-03-15 12:40:00-07:00,-2,0,0,1
56,1.0,2025-03-15 13:00:00-07:00,4,0,0,2
56,1.0,2025-03-15 13:20:00-07:00,-1,0,0,1
56,1.0,2025-03-15 13:40:00-07:00,8,1,0,1
56,1.0,2025-03-15 14:00:00-07:00,11,1,0,2
56,1.0,2025-03-15 14:20:00-07:00,15,1,0,1
56,1.0,2025-03-15 14:40:00-07:00,22,2,0,2
56,1.0,2025-03-15 15:20:00-07:00,29,1,0,2
56,1.0,2025-03-15 15:40:00-07:00,29,1,0,2
56,1.0,2025-03-15 16:00:00-07:00,38,1,0,2
56,1.0,2025-03-15 16:20:00-07:00,35,1,0,1
56,1.0,2025-03-15 16:40:00-07:00,4,0,0,1
56,1.0,2025-03-15 17:00:00-07:00,42,1,0,1
56,1.0,2025-03-15 17:20:00-07:00,0,0,0,1
56,1.0,2025-03-15 17:40:00-07:00,40,1,0,1
56,1.0,2025-03-15 18:00:00-07:00,32,1,0,2
56,1.0,2025-03-15 18:20:00-07:00,36,1,0,1
56,1.0,2025-03-15 18:40:00-07:00,2,0,0,1
56,1.0,2025-03-15 19:00:00-07:00,38,1,0,1
56,1.0,2025-03-15 19:20:00-07:00,4,0,0,1
56,1.0,2025-03-15 19:40:00-07:00,39,1,0,1
56,1.0,2025-03-15 20:00:00-07:00,1,0,0,1
56,1.0,2025-03-15 20:20:00-07:00,39,1,0,1
56,1.0,2025-03-15 20:40:00-07:00,0,0,0,1
56,1.0,2025-03-15 21:00:00-07:00,44,1,0,1
56,1.0,2025-03-16 06:40:00-07:00,0,0,0,1
56,1.0,2025-03-16 07:00:00-07:00,0,0,0,1
56,1.0,2025-03-16 07:20:00-07:00,0,0,0,1
56,1.0,2025-03-16 07:40:00-07:00,1,0,0,1
56,1.0,2025-03-16 08:00:00-07:00,1,0,0,1
56,1.0,2025-03-16 08:20:00-07:00,3,0,0,1
56,1.0,2025-03-16 08:40:00-07:00,3,0,0,1
56,1.0,2025-03-16 09:00:00-07:00,1,0,0,1
56,1.0,2025-03-16 09:20:00-07:00,2,0,0,1
56,1.0,2025-03-16 09:40:00-07:00,1,0,0,1
56,1.0,2025-03-16 10:00:00-07:00,3,0,0,1
56,1.0,2025-03-16 10:20:00-07:00,1,0,0,1
56,1.0,2025-03-16 10:40:00-07:00,1,0,0,1
57,0.0,2025-03-15 11:00:00-07:00,0,0,0,1
57,0.0,2025-03-15 11:20:00-07:00,4,0,0,2
57,0.0,2025-03-15 11:40:00-07:00,3,0,0,2
57,0.0,2025-03-15 12:00:00-07:00,0,0,0,1
57,0.0,2025-03-15 12:20:00-07:00,6,1,0,2
57,0.0,2025-03-15 12:40:00-07:00,5,1,0,2
57,0.0,2025-03-15 13:00:00-07:00,2,0,0,2
57,0.0,2025-03-15 13:20:00-07:00,4,0,0,2
57,0.0,2025-03-15 13:40:00-07:00,8,1,0,2
57,0.0,2025-03-15 14:00:00-07:00,0,0,0,1
57,0.0,2025-03-15 14:20:00-07:00,7,1,0,2
57,0.0,2025-03-15 14:40:00-07:00,6,1,0,2
57,0.0,2025-03-15 15:00:00-07:00,-1,0,0,2
57,0.0,2025-03-15 15:20:00-07:00,0,0,0,1
57,0.0,2025-03-15 15:40:00-07:00,1,0,0,1
57,0.0,2025-03-15 16:00:00-07:00,7,1,0,2
57,0.0,2025-03-15 16:20:00-07:00,1,0,0,2
57,0.0,2025-03-15 16:40:00-07:00,4,0,0,2
57,0.0,2025-03-15 17:00:00-07:00,7,1,0,2
57,0.0,2025-03-15 17:20:00-07:00,8,1,0,2
57,0.0,2025-03-15 17:40:00-07:00,4,0,0,2
57,0.0,2025-03-15 18:00:00-07:00,2,0,0,2
57,0.0,2025-03-15 18:20:00-07:00,4,0,0,2
57,0.0,2025-03-15 18:40:00-07:00,0,0,0,1
57,0.0,2025-03-15 19:00:00-07:00,1,0,0,1
57,0.0,2025-03-15 19:20:00-07:00,8,1,0,2
57,0.0,2025-03-15 19:40:00-07:00,7,1,0,2
57,0.0,2025-03-15 20:00:00-07:00,5,1,0,2
57,0.0,2025-03-15 20:20:00-07:00,6,0,0,3
57,0.0,2025-03-15 20:40:00-07:00,7,1,0,2
57,0.0,2025-03-15 21:00:00-07:00,0,0,0,1
57,0.0,2025-03-15 21:20:00-07:00,10,1,0,3
57,0.0,2025-03-15 21:40:00-07:00,9,1,0,2
57,0.0,2025-03-15 22:00:00-07:00,0,0,0,1
57,0.0,2025-03-16 05:00:00-07:00,-2,0,0,1
57,0.0,2025-03-16 05:20:00-07:00,7,1,0,2
57,0.0,2025-03-16 05:40:00-07:00,1,0,0,1
57,0.0,2025-03-16 06:00:00-07:00,1,0,0,1
57,0.0,2025-03-16 06:20:00-07:00,0,0,0,1
57,0.0,2025-03-16 06:40:00-07:00,0,0,0,1
57,0.0,2025-03-16 07:00:00-07:00,0,0,0,2
57,0.0,2025-03-16 07:20:00-07:00,0,0,0,1
57,0.0,2025-03-16 07:40:00-07:00,0,0,0,1
57,0.0,2025-03-16 08:20:00-07:00,0,0,0,1
57,0.0,2025-03-16 08:40:00-07:00,1,0,0,1
57,0.0,2025-03-16 09:00:00-07:00,11,1,0,2
57,0.0,2025-03-16 09:20:00-07:00,6,1,0,2
57,0.0,2025-03-16 09:40:00-07:00,1,0,0,2
57,0.0,2025-03-16 10:00:00-07:00,2,0,0,2
57,0.0,2025-03-16 10:20:00-07:00,0,0,0,2
57,0.0,2025-03-16 10:40:00-07:00,0,0,0,1
57,1.0,2025-03-15 11:00:00-07:00,4,0,0,2
57,1.0,2025-03-15 11:20:00-07:00,6,0,0,2
57,1.0,2025-03-15 11:40:00-07:00,4,0,0,1
57,1.0,2025-03-15 12:00:00-07:00,5,1,0,1
57,1.0,2025-03-15 12:20:00-07:00,13,2,0,2
57,1.0,2025-03-15 12:40:00-07:00,11,1,0,2
57,1.0,2025-03-15 13:00:00-07:00,5,1,0,2
57,1.0,2025-03-15 13:20:00-07:00,9,1,0,2
57,1.0,2025-03-15 13:40:00-07:00,5,1,0,1
57,1.0,2025-03-15 14:00:00-07:00,7,1,0,2
57,1.0,2025-03-15 14:20:00-07:00,3,0,0,2
57,1.0,2025-03-15 14:40:00-07:00,4,0,0,1
57,1.0,2025-03-15 15:00:00-07:00,2,1,1,2
57,1.0,2025-03-15 15:20:00-07:00,3,1,1,2
57,1.0,2025-03-15 15:40:00-07:00,-4,0,0,2
57,1.0,2025-03-15 16:00:00-07:00,4,1,0,2
57,1.0,2025-03-15 16:20:00-07:00,6,1,0,2
57,1.0,2025-03-15 16:40:00-07:00,12,1,0,2
57,1.0,2025-03-15 17:00:00-07:00,-2,0,0,1
57,1.0,2025-03-15 17:20:00-07:00,11,1,0,1
57,1.0,2025-03-15 17:40:00-07:00,9,1,0,2
57,1.0,2025-03-15 18:00:00-07:00,-1,0,0,2
57,1.0,2025-03-15 18:20:00-07:00,1,0,0,1
57,1.0,2025-03-15 18:40:00-07:00,5,1,0,1
57,1.0,2025-03-15 19:00:00-07:00,6,1,0,2
57,1.0,2025-03-15 19:20:00-07:00,8,1,0,2
57,1.0,2025-03-15 19:40:00-07:00,17,2,0,2
57,1.0,2025-03-15 20:00:00-07:00,12,1,0,2
57,1.0,2025-03-15 20:20:00-07:00,21,1,0,3
